Title,Offered_by,Domain,Duration,Price,combined_features
The Art of Exploring and Analyzing The Data,Innomatics,Big Data Analytics,30 hours,0.0,The Art of Exploring and Analyzing The Data Innomatics Big Data Analytics 30 hours 0.0
Fundamentals of Python For Data Science,Innomatics,Big Data Analytics,30 hours,0.0,Fundamentals of Python For Data Science Innomatics Big Data Analytics 30 hours 0.0
Entrepreneurship Skills - Level One,Skillioma,Continuous Learning,40 hours,4719.0,Entrepreneurship Skills - Level One Skillioma Continuous Learning 40 hours 4719.0
Leadership Skills - Level One,Skillioma,Continuous Learning,40 hours,4719.0,Leadership Skills - Level One Skillioma Continuous Learning 40 hours 4719.0
Power Of Expression - Business Communication,Skillioma,Effective Communication,60 hours,5899.0,Power Of Expression - Business Communication Skillioma Effective Communication 60 hours 5899.0
Competency Of Expression - Communication,Skillioma,Effective Communication,40 hours,1769.0,Competency Of Expression - Communication Skillioma Effective Communication 40 hours 1769.0
Beginning Of Expression - Communication,Skillioma,Effective Communication,40 hours,1769.0,Beginning Of Expression - Communication Skillioma Effective Communication 40 hours 1769.0
Certification Program in Generative Artificial Intelligence,Q Academy,Artificial Intelligence,90 hours,11799.0,Certification Program in Generative Artificial Intelligence Q Academy Artificial Intelligence 90 hours 11799.0
Certificate program in Full Stack Java,ExcelR ,"Web, Mobile Development & Marketing",30 hours,1250.0,"Certificate program in Full Stack Java ExcelR  Web, Mobile Development & Marketing 30 hours 1250.0"
Certificate program in Testing Tools / Selenium with Java & Python /API Testing,ExcelR ,"Web, Mobile Development & Marketing",30 hours,0.0,"Certificate program in Testing Tools / Selenium with Java & Python /API Testing ExcelR  Web, Mobile Development & Marketing 30 hours 0.0"
Certificate program in MERN Stack,ExcelR ,"Web, Mobile Development & Marketing",30 hours,0.0,"Certificate program in MERN Stack ExcelR  Web, Mobile Development & Marketing 30 hours 0.0"
Certificate program in Microsoft Business Intelligence/ Power BI,ExcelR ,Artificial Intelligence,30 hours,1250.0,Certificate program in Microsoft Business Intelligence/ Power BI ExcelR  Artificial Intelligence 30 hours 1250.0
Certificate program in React JS,ExcelR ,"Web, Mobile Development & Marketing",30 hours,0.0,"Certificate program in React JS ExcelR  Web, Mobile Development & Marketing 30 hours 0.0"
Certificate program in Mobile App Development,ExcelR ,"Web, Mobile Development & Marketing",30 hours,0.0,"Certificate program in Mobile App Development ExcelR  Web, Mobile Development & Marketing 30 hours 0.0"
Certificate program in Cloud Computing Engineering (Azure / AWS),ExcelR ,Cloud Computing,30 hours,0.0,Certificate program in Cloud Computing Engineering (Azure / AWS) ExcelR  Cloud Computing 30 hours 0.0
Certificate program in Java Programming,ExcelR ,"Web, Mobile Development & Marketing",30 hours,1250.0,"Certificate program in Java Programming ExcelR  Web, Mobile Development & Marketing 30 hours 1250.0"
Certificate Program in Python / Python Django,ExcelR ,"Web, Mobile Development & Marketing",30 hours,0.0,"Certificate Program in Python / Python Django ExcelR  Web, Mobile Development & Marketing 30 hours 0.0"
Certificate program in Web Development / Java script,ExcelR ,"Web, Mobile Development & Marketing",30 hours,1250.0,"Certificate program in Web Development / Java script ExcelR  Web, Mobile Development & Marketing 30 hours 1250.0"
Certificate program in Prompt Engineering and ChatGPT,ExcelR ,Artificial Intelligence,30 hours,0.0,Certificate program in Prompt Engineering and ChatGPT ExcelR  Artificial Intelligence 30 hours 0.0
Certificate Program in Python Full Stack,ExcelR ,"Web, Mobile Development & Marketing",30 hours,1250.0,"Certificate Program in Python Full Stack ExcelR  Web, Mobile Development & Marketing 30 hours 1250.0"
Certificate Program in Artificial Intelligence & Machine Learning,ExcelR ,Artificial Intelligence,30 hours,0.0,Certificate Program in Artificial Intelligence & Machine Learning ExcelR  Artificial Intelligence 30 hours 0.0
Certificate program in Deep Learning / NLP / Artificial Intelligence,ExcelR ,Artificial Intelligence,30 hours,0.0,Certificate program in Deep Learning / NLP / Artificial Intelligence ExcelR  Artificial Intelligence 30 hours 0.0
Certificate program in Business Intelligence,ExcelR ,Artificial Intelligence,30 hours,1250.0,Certificate program in Business Intelligence ExcelR  Artificial Intelligence 30 hours 1250.0
Certificate program in Data Analytics,ExcelR ,Artificial Intelligence,30 hours,1250.0,Certificate program in Data Analytics ExcelR  Artificial Intelligence 30 hours 1250.0
Certificate program in Data Science & Machine Learning,ExcelR ,Artificial Intelligence,30 hours,1250.0,Certificate program in Data Science & Machine Learning ExcelR  Artificial Intelligence 30 hours 1250.0
Digital Marketing Associate,ExcelR ,"Web, Mobile Development & Marketing",30 hours,1250.0,"Digital Marketing Associate ExcelR  Web, Mobile Development & Marketing 30 hours 1250.0"
Packaging- Fundamentals of Design and Testing,VLSI SYSTEM DESIGN,Semiconductors,40 hours,8260.0,Packaging- Fundamentals of Design and Testing VLSI SYSTEM DESIGN Semiconductors 40 hours 8260.0
UiPath Automation Business Analyst Training,UiPath,Robotic Process Automation,35 hours,0.0,UiPath Automation Business Analyst Training UiPath Robotic Process Automation 35 hours 0.0
Python Course,GUVI ,"Web, Mobile Development & Marketing",7 hours,0.0,"Python Course GUVI  Web, Mobile Development & Marketing 7 hours 0.0"
RPA Design and Development,GUVI ,Robotic Process Automation,12 hours,0.0,RPA Design and Development GUVI  Robotic Process Automation 12 hours 0.0
Ethical Hacking,GUVI ,Cybersecurity,3 hours,1769.0,Ethical Hacking GUVI  Cybersecurity 3 hours 1769.0
Cyber Security,GUVI ,Cybersecurity,6 hours,2123.0,Cyber Security GUVI  Cybersecurity 6 hours 2123.0
Advanced Generative AI Program,Innomatics,Artificial Intelligence,60 hours,35000.0,Advanced Generative AI Program Innomatics Artificial Intelligence 60 hours 35000.0
Data Science & GenAI Program For IT Leaders,Innomatics,Artificial Intelligence,170 hours,70800.0,Data Science & GenAI Program For IT Leaders Innomatics Artificial Intelligence 170 hours 70800.0
Customer Service,WhiteBoard Labs,Artificial Intelligence,90 hours,7080.0,Customer Service WhiteBoard Labs Artificial Intelligence 90 hours 7080.0
Retail Management 4.0,WhiteBoard Labs,Artificial Intelligence,120 hours,5900.0,Retail Management 4.0 WhiteBoard Labs Artificial Intelligence 120 hours 5900.0
Supply Chain 4.0,WhiteBoard Labs,Artificial Intelligence,120 hours,5900.0,Supply Chain 4.0 WhiteBoard Labs Artificial Intelligence 120 hours 5900.0
Techtonic FMCG,WhiteBoard Labs,Artificial Intelligence,120 hours,5900.0,Techtonic FMCG WhiteBoard Labs Artificial Intelligence 120 hours 5900.0
E-Commerce Tech,WhiteBoard Labs,"Web, Mobile Development & Marketing",120 hours,5900.0,"E-Commerce Tech WhiteBoard Labs Web, Mobile Development & Marketing 120 hours 5900.0"
Certified Digital Marketing Professional,DataMites,"Web, Mobile Development & Marketing",36 hours,82600.0,"Certified Digital Marketing Professional DataMites Web, Mobile Development & Marketing 36 hours 82600.0"
Artificial Intelligence Foundation,Skillioma,Artificial Intelligence,60 hours,8999.0,Artificial Intelligence Foundation Skillioma Artificial Intelligence 60 hours 8999.0
Python Zero to Hero in Telugu,GUVI ,"Web, Mobile Development & Marketing",17 hours 2 minutes,1494.0,"Python Zero to Hero in Telugu GUVI  Web, Mobile Development & Marketing 17 hours 2 minutes 1494.0"
Python Zero to Hero in Tamil,GUVI ,"Web, Mobile Development & Marketing",17 hours 2 minutes,1494.0,"Python Zero to Hero in Tamil GUVI  Web, Mobile Development & Marketing 17 hours 2 minutes 1494.0"
Python Zero to Hero in Hindi,GUVI ,"Web, Mobile Development & Marketing",17 hours 2 minutes,1494.0,"Python Zero to Hero in Hindi GUVI  Web, Mobile Development & Marketing 17 hours 2 minutes 1494.0"
Python Zero to Hero,GUVI ,"Web, Mobile Development & Marketing",17 hours 31 minutes,1494.0,"Python Zero to Hero GUVI  Web, Mobile Development & Marketing 17 hours 31 minutes 1494.0"
Generative AI in Telugu,GUVI ,Artificial Intelligence,6 hours 15 minutes,1494.0,Generative AI in Telugu GUVI  Artificial Intelligence 6 hours 15 minutes 1494.0
Generative AI in Tamil,GUVI ,Artificial Intelligence,7 hours 37 minutes,1494.0,Generative AI in Tamil GUVI  Artificial Intelligence 7 hours 37 minutes 1494.0
Generative AI in Hindi,GUVI ,Artificial Intelligence,6 hours 12 minutes,1494.0,Generative AI in Hindi GUVI  Artificial Intelligence 6 hours 12 minutes 1494.0
Generative AI,GUVI ,Artificial Intelligence,5 hours 20 minutes,1494.0,Generative AI GUVI  Artificial Intelligence 5 hours 20 minutes 1494.0
Python for Data Science,Cranes Varsity,Artificial Intelligence,30 hours,0.0,Python for Data Science Cranes Varsity Artificial Intelligence 30 hours 0.0
Data Science with AI/ML using Python,Cranes Varsity,Artificial Intelligence,50 hours,9439.0,Data Science with AI/ML using Python Cranes Varsity Artificial Intelligence 50 hours 9439.0
RDBMS for Data Science,Cranes Varsity,Artificial Intelligence,30 hours,0.0,RDBMS for Data Science Cranes Varsity Artificial Intelligence 30 hours 0.0
Certified Data Privacy Analyst CDPA,SkillsDA,Cybersecurity,45 hours,11800.0,Certified Data Privacy Analyst CDPA SkillsDA Cybersecurity 45 hours 11800.0
Advanced Certification In Data Science & AI,AnalytixLabs,Artificial Intelligence,650 hours,82600.0,Advanced Certification In Data Science & AI AnalytixLabs Artificial Intelligence 650 hours 82600.0
Data Visualization & Analytics,AnalytixLabs,Artificial Intelligence,148 hours,29500.0,Data Visualization & Analytics AnalytixLabs Artificial Intelligence 148 hours 29500.0
Course on Life Science and Health Care,360DigiTMG,Artificial Intelligence,8 hours,7079.0,Course on Life Science and Health Care 360DigiTMG Artificial Intelligence 8 hours 7079.0
Work with generative artificial intelligence (AI) models in Azure Machine Learning,Microsoft,Artificial Intelligence,2 hours 26 minutes,0.0,Work with generative artificial intelligence (AI) models in Azure Machine Learning Microsoft Artificial Intelligence 2 hours 26 minutes 0.0
Create computer vision solutions with Azure AI Vision,Microsoft,Artificial Intelligence,5 hours 1 minute,0.0,Create computer vision solutions with Azure AI Vision Microsoft Artificial Intelligence 5 hours 1 minute 0.0
Build a natural language processing solution with Azure AI Language,Microsoft,Artificial Intelligence,7 hours 4 minutes,0.0,Build a natural language processing solution with Azure AI Language Microsoft Artificial Intelligence 7 hours 4 minutes 0.0
Communication Skills for BPM Industry,Wadhwani Foundation,Effective Communication,40 hours,0.0,Communication Skills for BPM Industry Wadhwani Foundation Effective Communication 40 hours 0.0
Master's In Artificial Intelligence,TopMentor,Artificial Intelligence,170 hours,49560.0,Master's In Artificial Intelligence TopMentor Artificial Intelligence 170 hours 49560.0
Master's In Data Science,TopMentor,Artificial Intelligence,120 hours,43660.0,Master's In Data Science TopMentor Artificial Intelligence 120 hours 43660.0
Master's In Data Analytics,TopMentor,Artificial Intelligence,100 hours,37760.0,Master's In Data Analytics TopMentor Artificial Intelligence 100 hours 37760.0
Deep Learning with ML and AI,Datamaze,Artificial Intelligence,200 hours,27730.0,Deep Learning with ML and AI Datamaze Artificial Intelligence 200 hours 27730.0
Machine Learning,TurnIn ,Artificial Intelligence,60 hours,14160.0,Machine Learning TurnIn  Artificial Intelligence 60 hours 14160.0
Google Cloud - Generative AI,Google,Artificial Intelligence,30 hours,0.0,Google Cloud - Generative AI Google Artificial Intelligence 30 hours 0.0
UiPath Automation Developer Professional Training,UiPath,Robotic Process Automation,37 hours,0.0,UiPath Automation Developer Professional Training UiPath Robotic Process Automation 37 hours 0.0
UiPath Automation Developer Associate Training,UiPath,Robotic Process Automation,43 hours,0.0,UiPath Automation Developer Associate Training UiPath Robotic Process Automation 43 hours 0.0
Introduction to Chip Design and Verification,Edveon,Semiconductors,240 hours,1179.0,Introduction to Chip Design and Verification Edveon Semiconductors 240 hours 1179.0
FullStack Web Development: Certification & Internship Program,SuprMentr,"Web, Mobile Development & Marketing",50 hours,4720.0,"FullStack Web Development: Certification & Internship Program SuprMentr Web, Mobile Development & Marketing 50 hours 4720.0"
Professional Course in Data Analytics,360DigiTMG,Artificial Intelligence,200 hours,99592.0,Professional Course in Data Analytics 360DigiTMG Artificial Intelligence 200 hours 99592.0
Post Graduate Program in Data Science and Analytics,FIREBLAZE,Artificial Intelligence,240 hours,84960.0,Post Graduate Program in Data Science and Analytics FIREBLAZE Artificial Intelligence 240 hours 84960.0
Accelerator Program in Business Analytics and Data Science,Hero Vired,Artificial Intelligence,470 hours,295000.0,Accelerator Program in Business Analytics and Data Science Hero Vired Artificial Intelligence 470 hours 295000.0
Data Science Essentials,Bhrighu Academy,Artificial Intelligence,350 hours,53100.0,Data Science Essentials Bhrighu Academy Artificial Intelligence 350 hours 53100.0
Coding 101,Smart Interviews,"Web, Mobile Development & Marketing",40 hours,4999.0,"Coding 101 Smart Interviews Web, Mobile Development & Marketing 40 hours 4999.0"
Digital Entrepreneurship,WhiteBoard Labs,"Web, Mobile Development & Marketing",120 hours,11800.0,"Digital Entrepreneurship WhiteBoard Labs Web, Mobile Development & Marketing 120 hours 11800.0"
Customer Service,WhiteBoard Labs,Collaboration & Team Work,120 hours,7080.0,Customer Service WhiteBoard Labs Collaboration & Team Work 120 hours 7080.0
Leadership 4.0,WhiteBoard Labs,Continuous Learning,25 hours,5900.0,Leadership 4.0 WhiteBoard Labs Continuous Learning 25 hours 5900.0
Sales Pro 4.0,WhiteBoard Labs,"Web, Mobile Development & Marketing",50 hours,5900.0,"Sales Pro 4.0 WhiteBoard Labs Web, Mobile Development & Marketing 50 hours 5900.0"
Human Resource 4.0,WhiteBoard Labs,Digital Leadership,50 hours,5900.0,Human Resource 4.0 WhiteBoard Labs Digital Leadership 50 hours 5900.0
Internet Marketing,WhiteBoard Labs,"Web, Mobile Development & Marketing",25 hours,2950.0,"Internet Marketing WhiteBoard Labs Web, Mobile Development & Marketing 25 hours 2950.0"
"Future of Technology - Intro to AI, Chat GPT and IoT",WhiteBoard Labs,Artificial Intelligence,22 hours,590.0,"Future of Technology - Intro to AI, Chat GPT and IoT WhiteBoard Labs Artificial Intelligence 22 hours 590.0"
Certificate program in Business Analyst,ExcelR ,Artificial Intelligence,120 hours,58999.0,Certificate program in Business Analyst ExcelR  Artificial Intelligence 120 hours 58999.0
Certificate Program in Data Analyst,ExcelR ,Artificial Intelligence,120 hours,53099.0,Certificate Program in Data Analyst ExcelR  Artificial Intelligence 120 hours 53099.0
Tableau,FIXITY EDX ,Artificial Intelligence,18 hours,5899.0,Tableau FIXITY EDX  Artificial Intelligence 18 hours 5899.0
Power BI,FIXITY EDX ,Artificial Intelligence,18 hours,5899.0,Power BI FIXITY EDX  Artificial Intelligence 18 hours 5899.0
Data Analytics Training,FIXITY EDX ,Artificial Intelligence,120 hours,63720.0,Data Analytics Training FIXITY EDX  Artificial Intelligence 120 hours 63720.0
Java Full Stack Developer,FIXITY EDX ,"Web, Mobile Development & Marketing",120 hours,70007.0,"Java Full Stack Developer FIXITY EDX  Web, Mobile Development & Marketing 120 hours 70007.0"
Data Science Masters Program,FIXITY EDX ,Artificial Intelligence,150 hours,131262.0,Data Science Masters Program FIXITY EDX  Artificial Intelligence 150 hours 131262.0
Cloud Architect Master Program,FIXITY EDX ,Cloud Computing,132 hours,191160.0,Cloud Architect Master Program FIXITY EDX  Cloud Computing 132 hours 191160.0
AWS Solutions Architect (Self-paced),CloudThat Technologies,Cloud Computing,52 hours 4 minutes,0.0,AWS Solutions Architect (Self-paced) CloudThat Technologies Cloud Computing 52 hours 4 minutes 0.0
Algorand Blockchain Application Developer,Algorand,Blockchain,20 hours,0.0,Algorand Blockchain Application Developer Algorand Blockchain 20 hours 0.0
Digital VLSI SoC design and planning,VLSI SYSTEM DESIGN,Semiconductors,30 hours,8260.0,Digital VLSI SoC design and planning VLSI SYSTEM DESIGN Semiconductors 30 hours 8260.0
Advance Certificate Program In Generative Artificial Intelligence,Tech GuruCool,Artificial Intelligence,99 hours,108000.0,Advance Certificate Program In Generative Artificial Intelligence Tech GuruCool Artificial Intelligence 99 hours 108000.0
Salesforce Business Analyst Professional,Salesforce,Cloud Computing,26 hours 10 minutes,0.0,Salesforce Business Analyst Professional Salesforce Cloud Computing 26 hours 10 minutes 0.0
Machine Learning - Linear Regression,Analyttica Datalab,Artificial Intelligence,23 hours,0.0,Machine Learning - Linear Regression Analyttica Datalab Artificial Intelligence 23 hours 0.0
Fundamentals of Data Analytics,Analyttica Datalab,Artificial Intelligence,61 hours,0.0,Fundamentals of Data Analytics Analyttica Datalab Artificial Intelligence 61 hours 0.0
Effective Speaking and Listening Skills,Wadhwani Foundation,Effective Communication,10 hours 15 minutes,0.0,Effective Speaking and Listening Skills Wadhwani Foundation Effective Communication 10 hours 15 minutes 0.0
Online Communication & Data Security,Wadhwani Foundation,Effective Communication,8 hours 5 minutes,0.0,Online Communication & Data Security Wadhwani Foundation Effective Communication 8 hours 5 minutes 0.0
